index,input,group,url,title,old_model_match,old_authority,page_role_screen,current_title_url_relation,current_title_url_reason,current_operator_seed,current_seed_scope,archived_page_inspection,archived_response_body,review_screen,historical_manual_verdict
1,Bosch WAN28254GB,official_pages,https://www.bosch-home.co.uk/en/product/laundry/washing-machines/front-load-washing-machine/WAN28254GB,"WAN28254GB Washing machine, front loader | BOSCH GB",exact,manufacturer,product,exact,Requested exact model appears in the title/snippet or URL.,unknown,unknown,True,False,requires_content,not_reconstructible
1,Bosch WAN28254GB,official_pages,https://www.bosch-home.com/mt/en/mkt-product/washers-dryers/washing-machines/frontloader/WAN28254GB,"WAN28254GB washing machine, frontloader fullsize | BOSCH MT",exact,manufacturer,product,exact,Requested exact model appears in the title/snippet or URL.,unknown,unknown,True,False,requires_content,not_reconstructible
1,Bosch WAN28254GB,official_pages,https://www.bosch-home.ie/en/mkt-product/washers-and-dryers/washing-machines/front-loading-washing-machines/WAN28254GB,"WAN28254GB Washing machine, front loader | BOSCH IE",exact,manufacturer,product,exact,Requested exact model appears in the title/snippet or URL.,unknown,unknown,True,False,requires_content,not_reconstructible
1,Bosch WAN28254GB,support_pages,https://www.bosch-home.com/us/en/productservice/WAN28254GB-16,Service Assistance - WAN28254GB/16 | BOSCH US,exact,official support,support,likely_variant,"Requested base SKU matches, but suffix '16' needs product-content evidence before equivalence can be established.",unknown,unknown,False,False,variant_or_region_requires_content,not_reconstructible
1,Bosch WAN28254GB,documents,https://media3.bosch-home.com/Documents/9002055219_A.pdf,PDF User manual and installation instructions WAN28254GB | Bosch,exact,official support,document,weak,Title mentions the model but the URL does not identify the complete model.,unknown,unknown,False,False,old_exact_requires_main_content,not_reconstructible
1,Bosch WAN28254GB,documents,https://media3.bosch-home.com/Documents/specsheet/en-GB/WAN28254GB.pdf,PDF new - media3.bosch-home.com,exact,official support,document,exact,Requested exact model appears in the title/snippet or URL.,unknown,unknown,False,False,requires_content,not_reconstructible
1,Bosch WAN28254GB,secondary,https://currys.co.uk/products/bosch-series-4-wan28254gb-8-kg-1400-spin-washing-machine-white-10301999.html,BOSCH Series 4 WAN28254GB 8 kg 1400 Spin Washing Machine - White,exact,secondary,product,exact,Requested exact model appears in the title/snippet or URL.,unknown,unknown,False,False,requires_content,not_reconstructible
1,Bosch WAN28254GB,secondary,https://ao.com/product/wan28254gb-bosch-series-4-washing-machine-white-110910-1.aspx,Bosch washing machine | WAN28254GB_WH | ao.com,probable,secondary,product,likely_variant,Requested base model appears with an explicit variant suffix.,unknown,unknown,False,False,requires_content,not_reconstructible
1,Bosch WAN28254GB,secondary,https://johnlewis.com/bosch-series-4-wan28254gb-freestanding-washing-machine-8kg-load-1400rpm-spin-white/p115205361,"Bosch Series 4 WAN28254GB Freestanding Washing Machine, 8kg Load ...",exact,secondary,product,exact,Requested exact model appears in the title/snippet or URL.,unknown,unknown,False,False,requires_content,not_reconstructible
1,Bosch WAN28254GB,secondary,https://markselectrical.co.uk/wan28254gb_bosch-washing-machine,"Bosch WAN28254GB Series 4 Washing Machine, 8kg, 1400 Spin, White, A ...",exact,secondary,product,exact,Requested exact model appears in the title/snippet or URL.,unknown,unknown,False,False,requires_content,not_reconstructible
2,Siemens SN23EI03ME,secondary,https://siemens-home.bsh-group.com/uk/en/mkt-product/SN23EI03ME,SN23EI03ME Free-standing dishwasher | SIEMENS GB,exact,secondary,product,exact,Requested exact model appears in the title/snippet or URL.,licensed_brand_operator,home appliances,False,False,requires_content,not_reconstructible
2,Siemens SN23EI03ME,secondary,https://icecat.biz/us/p/siemens/sn23ei03me/iq300-dishwashers-4242003936320-sn23ei03me-114546222.html,Siemens iQ300 SN23EI03ME dishwasher Freestanding 14 place ... - Icecat,exact,secondary,product,exact,Requested exact model appears in the title/snippet or URL.,unknown,unknown,False,False,requires_content,not_reconstructible
2,Siemens SN23EI03ME,secondary,https://manualslib.com/products/Siemens-Sn23ei03me-13838058.html,Siemens SN23EI03ME Manuals | ManualsLib,exact,secondary,document,exact,Requested exact model appears in the title/snippet or URL.,unknown,unknown,False,False,requires_content,not_reconstructible
2,Siemens SN23EI03ME,secondary,https://manua.ls/siemens/sn23ei03me/manual,User manual Siemens SN23EI03ME (English - 56 pages),exact,secondary,document,exact,Requested exact model appears in the title/snippet or URL.,unknown,unknown,False,False,requires_content,not_reconstructible
2,Siemens SN23EI03ME,secondary,https://manuals.ca/siemens/sn23ei03me/manual,Siemens SN23EI03ME user manual (English - 56 pages),exact,secondary,document,exact,Requested exact model appears in the title/snippet or URL.,unknown,unknown,False,False,requires_content,not_reconstructible
2,Siemens SN23EI03ME,secondary,https://manuals.co.uk/siemens/sn23ei03me/manual,Siemens SN23EI03ME user manual (English - 56 pages),exact,secondary,document,exact,Requested exact model appears in the title/snippet or URL.,unknown,unknown,False,False,requires_content,not_reconstructible
2,Siemens SN23EI03ME,secondary,https://manualslib.com/manual/3371457/Siemens-Sn23ei03me.html,Siemens SN23EI03ME Information For Use - ManualsLib,exact,secondary,document,exact,Requested exact model appears in the title/snippet or URL.,unknown,unknown,False,False,requires_content,not_reconstructible
2,Siemens SN23EI03ME,secondary,https://parolek-shop.cz/siemens-sn23ei03me-mycka-nadobi-iq300,Siemens SN23EI03ME myÄka nÃ¡dobÃ­ iQ300 + 2000 cashback po…,exact,secondary,product,exact,Requested exact model appears in the title/snippet or URL.,unknown,unknown,False,False,requires_content,not_reconstructible
2,Siemens SN23EI03ME,secondary,https://tnshop.cz/siemens-sn23ei03me,Siemens SN23EI03ME | TNshop.cz,exact,secondary,product,exact,Requested exact model appears in the title/snippet or URL.,unknown,unknown,False,False,requires_content,not_reconstructible
2,Siemens SN23EI03ME,secondary,https://alza.cz/siemens-sn23ei03me-iq300-d13349442.htm,SIEMENS SN23EI03ME iQ300 - S cashbackem 2000 KÄ,exact,secondary,product,exact,Requested exact model appears in the title/snippet or URL.,unknown,unknown,False,False,requires_content,not_reconstructible
2,Siemens SN23EI03ME,secondary,https://e-beko.cz/produkt/siemens-sn23ei03me-iq300.html,"Siemens SN23EI03ME iQ300 cena, slevy, porovnÃ¡nÃ­ e-beko.cz",exact,secondary,product,exact,Requested exact model appears in the title/snippet or URL.,unknown,unknown,False,False,requires_content,not_reconstructible
2,Siemens SN23EI03ME,secondary,https://elektrocz.com/p287321-siemens-sn23ei03me,Siemens SN23EI03ME,exact,secondary,product,exact,Requested exact model appears in the title/snippet or URL.,unknown,unknown,False,False,requires_content,not_reconstructible
