index,input,parsed_brand,parsed_model,structured_brand,structured_model,category,identity_level,old_status,old_exact_official_found,old_exact_product_pages,old_exact_support_pages,old_exact_documents,old_pdf_documents,old_html_documents,provider_failures,runtime_seconds,possible_failure_causes,historical_manual_verdict,content_archive_available
1,Bosch WAN28254GB,Bosch,WAN28254GB,Bosch,WAN28254GB,major appliances,sku,PASS,True,3,1,2,2,0,2,53.587,authority_not_reconstructible_from_saved_record;identity_or_filtering;identity_unverified,not_reconstructible,False
2,Siemens SN23EI03ME,Siemens,SN23EI03ME,Siemens,SN23EI03ME,major appliances,sku,PARTIAL,False,0,0,0,0,0,41,70.72,official_source_not_found_within_search;possible_authority_or_ranking;provider_or_fetch_failure_recorded,not_reconstructible,False
3,Samsung RB38C7B6AS9,Samsung,RB38C7B6AS9,Samsung,RB38C7B6AS9,major appliances,sku,PASS,True,2,0,0,0,0,8,61.09,authority_not_reconstructible_from_saved_record;identity_or_filtering;provider_or_fetch_failure_recorded,not_reconstructible,False
4,Electrolux EOD6P77WX,Electrolux,EOD6P77WX,Electrolux,EOD6P77WX,major appliances,sku,PASS,True,2,0,0,0,0,8,56.381,authority_not_reconstructible_from_saved_record;official_page_not_inspected_or_fetch_blocked;provider_or_fetch_failure_recorded,not_reconstructible,False
5,AEG IKE64441FB,AEG,IKE64441FB,AEG,IKE64441FB,major appliances,sku,PASS,True,1,0,0,0,0,2,53.223,authority_not_reconstructible_from_saved_record;official_page_not_inspected_or_fetch_blocked,not_reconstructible,False
6,Miele TWD260WP,Miele,TWD260WP,Miele,TWD260WP,major appliances,sku,PASS,True,3,0,0,0,0,9,51.742,authority_not_reconstructible_from_saved_record;official_page_not_inspected_or_fetch_blocked;provider_or_fetch_failure_recorded,not_reconstructible,False
7,Haier HCR5919EHMB,Haier,HCR5919EHMB,Haier,HCR5919EHMB,major appliances,sku,PARTIAL,False,0,0,0,0,0,8,38.715,official_source_not_found_within_search;possible_authority_or_ranking;provider_or_fetch_failure_recorded,not_reconstructible,False
8,DeLonghi Eletta Explore ECAM450.86.T,DeLonghi,Eletta Explore ECAM450.86.T,DeLonghi,Eletta Explore ECAM450.86.T,small appliances,sku,PASS,True,1,0,0,1,0,0,13.063,authority_not_reconstructible_from_saved_record,not_reconstructible,False
9,Philips Airfryer Combi XXL HD9876/90,Philips,Airfryer Combi XXL HD9876/90,Philips,Airfryer Combi XXL HD9876/90,small appliances,sku,PARTIAL,False,0,0,0,0,0,30,66.996,official_source_not_found_within_search;possible_authority_or_ranking;provider_or_fetch_failure_recorded,not_reconstructible,False
10,Dyson V15 Detect,Dyson,V15 Detect,Dyson,V15 Detect,small appliances,model,PASS,True,1,0,0,1,0,9,49.667,authority_not_reconstructible_from_saved_record;provider_or_fetch_failure_recorded,not_reconstructible,False
11,Kärcher K5 Power Control,Kärcher,K5 Power Control,Kärcher,K5 Power Control,small appliances,model,PARTIAL,False,0,0,0,0,0,35,52.932,official_source_not_found_within_search;possible_authority_or_ranking;provider_or_fetch_failure_recorded,not_reconstructible,False
12,Roborock S8 MaxV Ultra,Roborock,S8 MaxV Ultra,Roborock,S8 MaxV Ultra,small appliances,model,PASS,True,8,0,0,0,0,0,22.637,identity_or_filtering,not_reconstructible,False
13,Tefal Ultimate Pure FV9845,Tefal,Ultimate Pure FV9845,Tefal,Ultimate Pure FV9845,small appliances,sku,PASS,True,3,0,0,3,0,0,17.308,authority_not_reconstructible_from_saved_record,not_reconstructible,False
14,Braun MultiQuick 9 MQ9187XLI,Braun,MultiQuick 9 MQ9187XLI,Braun,MultiQuick 9 MQ9187XLI,small appliances,sku,PARTIAL,False,0,0,0,0,0,10,67.848,official_source_not_found_within_search;possible_authority_or_ranking;provider_or_fetch_failure_recorded,not_reconstructible,False
15,Kenwood Titanium Chef Patissier XL KWL90,Kenwood,Titanium Chef Patissier XL KWL90,Kenwood,Titanium Chef Patissier XL KWL90,small appliances,model,PARTIAL,False,0,0,0,0,0,9,75.027,official_source_not_found_within_search;possible_authority_or_ranking;provider_or_fetch_failure_recorded,not_reconstructible,False
