index,input,identity_level,expected_brand,expected_model,input_boundary_correct,old_status,new_status,old_automatic_pass,new_automatic_pass,new_exact_product_pages,new_content_verified_product_pages,new_exact_support_pages,new_exact_pdf_documents,new_exact_html_documents,new_official_pages_total,new_dealer_sources,new_secondary_sources,new_rejected_sources,old_queries,new_queries,old_provider_failures,new_provider_failures,old_runtime_seconds,new_runtime_seconds,new_search_status,new_error
1,Bosch WAN28254GB,sku,Bosch,WAN28254GB,True,PASS,PARTIAL,True,False,0,0,0,0,0,1,0,17,52,1,7,2,28,53.587,75.435,partial,
2,Siemens SN23EI03ME,sku,Siemens,SN23EI03ME,True,PARTIAL,PASS,False,True,1,1,0,0,0,1,0,6,3,11,3,41,2,70.72,45.089,partial,
3,Samsung RB38C7B6AS9,sku,Samsung,RB38C7B6AS9,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,43,46,3,10,8,36,61.09,66.432,partial,
4,Electrolux EOD6P77WX,sku,Electrolux,EOD6P77WX,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,36,46,4,12,8,61,56.381,56.722,partial,
5,AEG IKE64441FB,sku,AEG,IKE64441FB,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,27,30,3,10,2,44,53.223,65.287,partial,
6,Miele TWD260WP,sku,Miele,TWD260WP,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,27,97,4,12,9,38,51.742,63.885,partial,
7,Haier HCR5919EHMB,sku,Haier,HCR5919EHMB,True,PARTIAL,PASS,False,True,1,1,0,0,0,1,0,0,0,3,3,8,0,38.715,17.859,success,
8,DeLonghi Eletta Explore ECAM450.86.T,sku,DeLonghi,Eletta Explore ECAM450.86.T,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,2,83,1,13,0,7,13.063,44.131,partial,
9,Philips Airfryer Combi XXL HD9876/90,sku,Philips,Airfryer Combi XXL HD9876/90,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,1,0,5,4,10,3,30,2,66.996,47.897,partial,
10,Dyson V15 Detect,model,Dyson,V15 Detect,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,58,185,6,12,9,28,49.667,63.853,partial,
11,Kärcher K5 Power Control,model,Kärcher,K5 Power Control,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,12,151,11,11,35,35,52.932,47.437,partial,
12,Roborock S8 MaxV Ultra,model,Roborock,S8 MaxV Ultra,True,PASS,PASS,True,True,1,1,0,0,0,1,0,0,8,3,3,0,0,22.637,12.093,success,
13,Tefal Ultimate Pure FV9845,sku,Tefal,Ultimate Pure FV9845,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,5,99,1,14,0,26,17.308,58.827,partial,
14,Braun MultiQuick 9 MQ9187XLI,sku,Braun,MultiQuick 9 MQ9187XLI,True,PARTIAL,PASS,False,True,1,1,0,0,0,1,0,7,2,3,3,10,2,67.848,45.156,partial,
15,Kenwood Titanium Chef Patissier XL KWL90,model,Kenwood,Titanium Chef Patissier XL KWL90,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,8,3,3,3,9,7,75.027,48.147,partial,
16,ASUS RT-BE88U,sku,ASUS,RT-BE88U,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,44,78,3,10,4,30,55.221,75.642,partial,
17,TP-Link Deco BE85,model,TP-Link,Deco BE85,True,PASS,PARTIAL,True,False,0,0,0,0,0,2,2,6,1,3,8,4,3,17.027,32.969,partial,
18,Ubiquiti UniFi U7 Pro,model,Ubiquiti,UniFi U7 Pro,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,40,45,9,11,30,31,70.145,65.033,partial,
19,NETGEAR GS308EP,sku,NETGEAR,GS308EP,True,PASS,PASS,True,True,1,1,0,1,0,2,0,9,32,3,3,0,0,15.026,16.792,success,
20,Synology DS923+,sku,Synology,DS923+,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,1,1,11,11,9,15,48.157,59.29,partial,
21,APC Back-UPS BX1600MI,sku,APC,Back-UPS BX1600MI,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,24,115,6,10,17,44,67.353,73.395,partial,
22,Logitech MX Keys S,model,Logitech,MX Keys S,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,14,12,3,11,2,2,13.579,31.872,success,
23,Razer DeathAdder V3,model,Razer,DeathAdder V3,True,PASS,PASS,True,True,1,1,0,0,0,1,0,0,1,3,3,2,2,13.761,13.538,success,
24,SteelSeries Arctis Nova Pro Wireless,model,SteelSeries,Arctis Nova Pro Wireless,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,33,122,3,11,1,40,24.835,67.211,partial,
25,Samsung Odyssey OLED G8 G80SD,model,Samsung,Odyssey OLED G8 G80SD,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,58,100,3,10,8,31,63.974,66.763,partial,
26,LG OLED evo C4,family,LG,OLED evo C4,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,60,135,11,11,27,41,56.776,66.719,partial,
27,Apple Mac mini M4,family,Apple,Mac mini M4,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,33,104,4,11,6,38,39.432,73.184,partial,
28,Lenovo ThinkPad X1 Carbon Gen 13 Aura Edition,model,Lenovo,ThinkPad X1 Carbon Gen 13 Aura Edition,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,26,76,3,12,6,14,28.157,54.947,partial,
29,Epson EcoTank L6270,sku,Epson,EcoTank L6270,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,50,197,4,10,18,33,30.619,76.059,partial,
30,Canon CanoScan LiDE 400,model,Canon,CanoScan LiDE 400,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,51,138,3,12,2,32,25.096,75.655,partial,
31,WD My Passport 5TB,family,WD,My Passport 5TB,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,32,80,11,11,35,35,39.45,39.403,partial,
32,Crucial T705,family,Crucial,T705,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,3,101,1,13,0,12,6.264,39.99,partial,
33,Corsair RM850x,family,Corsair,RM850x,True,PASS,PASS,True,True,1,1,0,0,0,1,0,0,2,3,3,2,2,20.64,21.43,success,
34,ASUS TUF Gaming GeForce RTX 5070 Ti,family,ASUS,TUF Gaming GeForce RTX 5070 Ti,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,60,114,5,7,23,22,76.394,75.538,partial,
35,MSI MAG X870 TOMAHAWK WIFI,model,MSI,MAG X870 TOMAHAWK WIFI,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,52,85,3,13,8,31,28.991,58.635,partial,
36,DEWALT DCD805P2T,sku,DEWALT,DCD805P2T,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,27,57,3,9,12,30,35.241,70.506,partial,
37,Makita GA023GZ,sku,Makita,GA023GZ,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,45,84,3,8,11,37,52.302,76.003,partial,
38,Milwaukee M18 FHX-502X,sku,Milwaukee,M18 FHX-502X,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,28,138,9,8,36,32,77.283,77.215,partial,
39,Bosch Professional GCM 8 SJL,model,Bosch,Professional GCM 8 SJL,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,2,0,18,22,8,7,30,24,76.514,75.364,partial,
40,Einhell TC-PL 750,model,Einhell,TC-PL 750,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,44,65,6,12,16,46,49.783,66.863,partial,
41,STIHL MS 182,model,STIHL,MS 182,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,12,23,9,9,12,16,44.344,149.797,partial,
42,Husqvarna 525LK,sku,Husqvarna,525LK,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,1,70,1,11,0,12,8.461,57.189,partial,
43,Frostbite Drench 39ML,model,Frostbite,Drench 39ML,True,PARTIAL,PASS,False,True,1,1,0,0,0,2,0,4,4,11,3,64,14,48.643,38.235,partial,
44,Nautilus X Series XL MAX,model,Nautilus,X Series XL MAX,True,PARTIAL,PASS,False,True,1,1,0,0,0,1,0,5,4,3,3,9,7,39.43,43.691,partial,
45,Namazu Bionic 90 N41-90-52,sku,Namazu,Bionic 90 N41-90-52,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,9,13,11,11,76,77,54.635,50.598,partial,
46,adidas Ultraboost 5 JH9073,sku,adidas,Ultraboost 5 JH9073,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,34,32,3,11,15,55,42.861,60.45,partial,
47,Nike AeroSwift FN4231-010,sku,Nike,AeroSwift FN4231-010,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,21,142,2,9,9,27,74.136,82.86,partial,
48,The North Face Nuptse,family,The North Face,Nuptse,False,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,51,147,14,12,50,42,69.516,69.024,partial,
49,Oral-B iO Series 10,model,Oral-B,iO Series 10,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,1,3,4,3,8,4,42.874,31.573,success,
50,CeraVe Hydrating Facial Cleanser,family,CeraVe,Hydrating Facial Cleanser,True,PASS,PASS,True,True,1,1,0,0,0,3,0,0,1,3,3,6,6,26.76,30.014,success,
