index,input,identity_level,expected_brand,expected_model,input_boundary_correct,old_status,new_status,old_automatic_pass,new_automatic_pass,new_exact_product_pages,new_content_verified_product_pages,new_exact_support_pages,new_exact_pdf_documents,new_exact_html_documents,new_official_pages_total,new_dealer_sources,new_secondary_sources,new_rejected_sources,old_queries,new_queries,old_provider_failures,new_provider_failures,old_runtime_seconds,new_runtime_seconds,new_search_status,new_error
1,Bosch WAN28254GB,sku,Bosch,WAN28254GB,True,PASS,PASS,True,True,1,1,0,0,0,1,0,9,36,1,3,2,8,53.587,69.552,partial,
2,Siemens SN23EI03ME,sku,Siemens,SN23EI03ME,True,PARTIAL,PASS,False,True,1,1,0,0,0,1,0,6,3,11,3,41,8,70.72,63.133,partial,
3,Samsung RB38C7B6AS9,sku,Samsung,RB38C7B6AS9,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,11,3,3,4,8,10,61.09,85.617,partial,
4,Electrolux EOD6P77WX,sku,Electrolux,EOD6P77WX,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,18,33,4,11,8,53,56.381,71.106,partial,
5,AEG IKE64441FB,sku,AEG,IKE64441FB,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,28,21,3,7,2,29,53.223,75.481,partial,
6,Miele TWD260WP,sku,Miele,TWD260WP,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,26,93,4,10,9,34,51.742,76.772,partial,
7,Haier HCR5919EHMB,sku,Haier,HCR5919EHMB,True,PARTIAL,PASS,False,True,1,1,0,0,0,1,0,8,1,3,3,8,2,38.715,64.515,partial,
8,DeLonghi Eletta Explore ECAM450.86.T,sku,DeLonghi,Eletta Explore ECAM450.86.T,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,24,97,1,9,0,30,13.063,79.626,partial,
9,Philips Airfryer Combi XXL HD9876/90,sku,Philips,Airfryer Combi XXL HD9876/90,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,5,34,10,7,30,41,66.996,78.809,partial,
10,Dyson V15 Detect,model,Dyson,V15 Detect,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,23,59,6,10,9,53,49.667,76.813,partial,
11,Kärcher K5 Power Control,model,Kärcher,K5 Power Control,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,3,47,11,8,35,54,52.932,105.53,partial,
12,Roborock S8 MaxV Ultra,model,Roborock,S8 MaxV Ultra,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,21,52,3,10,0,22,22.637,86.899,partial,
13,Tefal Ultimate Pure FV9845,sku,Tefal,Ultimate Pure FV9845,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,7,41,1,9,0,59,17.308,77.252,partial,
14,Braun MultiQuick 9 MQ9187XLI,sku,Braun,MultiQuick 9 MQ9187XLI,True,PARTIAL,FAIL,False,False,0,0,0,0,0,0,0,11,9,3,2,10,11,67.848,86.578,partial,
15,Kenwood Titanium Chef Patissier XL KWL90,model,Kenwood,Titanium Chef Patissier XL KWL90,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,32,34,3,6,9,23,75.027,96.451,partial,
16,ASUS RT-BE88U,sku,ASUS,RT-BE88U,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,24,13,3,4,4,16,55.221,76.641,partial,
17,TP-Link Deco BE85,model,TP-Link,Deco BE85,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,15,133,3,10,4,20,17.027,76.361,partial,
18,Ubiquiti UniFi U7 Pro,model,Ubiquiti,UniFi U7 Pro,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,30,131,9,8,30,33,70.145,77.964,partial,
19,NETGEAR GS308EP,sku,NETGEAR,GS308EP,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,11,34,3,10,0,0,15.026,42.04,success,
20,Synology DS923+,sku,Synology,DS923+,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,29,146,11,11,9,32,48.157,80.684,partial,
21,APC Back-UPS BX1600MI,sku,APC,Back-UPS BX1600MI,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,18,8,6,6,17,21,67.353,87.612,partial,
22,Logitech MX Keys S,model,Logitech,MX Keys S,True,PASS,PASS,True,True,1,1,0,0,0,1,0,2,0,3,3,2,2,13.579,25.95,success,
23,Razer DeathAdder V3,model,Razer,DeathAdder V3,True,PASS,PASS,True,True,1,1,0,0,0,1,0,1,0,3,3,2,2,13.761,28.265,success,
24,SteelSeries Arctis Nova Pro Wireless,model,SteelSeries,Arctis Nova Pro Wireless,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,40,96,3,9,1,25,24.835,70.081,partial,
25,Samsung Odyssey OLED G8 G80SD,model,Samsung,Odyssey OLED G8 G80SD,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,12,0,3,3,8,8,63.974,79.367,partial,
26,LG OLED evo C4,family,LG,OLED evo C4,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,46,112,11,8,27,24,56.776,108.272,partial,
27,Apple Mac mini M4,family,Apple,Mac mini M4,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,24,23,4,6,6,18,39.432,79.975,partial,
28,Lenovo ThinkPad X1 Carbon Gen 13 Aura Edition,model,Lenovo,ThinkPad X1 Carbon Gen 13 Aura Edition,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,53,72,3,8,6,22,28.157,163.389,partial,
29,Epson EcoTank L6270,sku,Epson,EcoTank L6270,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,21,34,4,6,18,22,30.619,104.455,partial,
30,Canon CanoScan LiDE 400,model,Canon,CanoScan LiDE 400,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,33,9,3,6,2,20,25.096,82.712,partial,
31,WD My Passport 5TB,family,WD,My Passport 5TB,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,30,85,11,8,35,33,39.45,137.576,partial,
32,Crucial T705,family,Crucial,T705,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,57,33,1,11,0,48,6.264,110.443,partial,
33,Corsair RM850x,family,Corsair,RM850x,True,PASS,PASS,True,True,1,1,0,0,0,1,0,1,0,3,3,2,2,20.64,53.757,success,
34,ASUS TUF Gaming GeForce RTX 5070 Ti,family,ASUS,TUF Gaming GeForce RTX 5070 Ti,True,PARTIAL,FAIL,False,False,0,0,0,0,0,0,0,29,32,5,1,23,6,76.394,77.877,partial,
35,MSI MAG X870 TOMAHAWK WIFI,model,MSI,MAG X870 TOMAHAWK WIFI,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,43,60,3,8,8,26,28.991,146.763,partial,
36,DEWALT DCD805P2T,sku,DEWALT,DCD805P2T,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,11,23,3,5,12,16,35.241,86.08,partial,
37,Makita GA023GZ,sku,Makita,GA023GZ,True,PASS,FAIL,True,False,0,0,0,0,0,0,0,0,0,3,1,11,6,52.302,78.495,timeout,
38,Milwaukee M18 FHX-502X,sku,Milwaukee,M18 FHX-502X,True,PARTIAL,FAIL,False,False,0,0,0,0,0,0,0,0,0,9,1,36,2,77.283,214.61,timeout,
39,Bosch Professional GCM 8 SJL,model,Bosch,Professional GCM 8 SJL,True,PARTIAL,FAIL,False,False,0,0,0,0,0,0,0,0,0,8,1,30,3,76.514,115.442,timeout,
40,Einhell TC-PL 750,model,Einhell,TC-PL 750,True,PASS,FAIL,True,False,0,0,0,0,0,0,0,0,0,6,1,16,2,49.783,82.347,timeout,
41,STIHL MS 182,model,STIHL,MS 182,True,PASS,FAIL,True,False,0,0,0,0,0,0,0,19,2,9,2,12,7,44.344,314.594,partial,
42,Husqvarna 525LK,sku,Husqvarna,525LK,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,1,10,1,8,0,6,8.461,39.398,partial,
43,Frostbite Drench 39ML,model,Frostbite,Drench 39ML,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,6,20,11,8,64,44,48.643,36.826,partial,
44,Nautilus X Series XL MAX,model,Nautilus,X Series XL MAX,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,6,33,3,9,9,49,39.43,55.44,partial,
45,Namazu Bionic 90 N41-90-52,sku,Namazu,Bionic 90 N41-90-52,True,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,9,20,11,8,76,51,54.635,48.626,partial,
46,adidas Ultraboost 5 JH9073,sku,adidas,Ultraboost 5 JH9073,True,PASS,PARTIAL,True,False,0,0,0,0,0,0,0,14,35,3,10,15,60,42.861,66.848,partial,
47,Nike AeroSwift FN4231-010,sku,Nike,AeroSwift FN4231-010,True,PASS,PASS,True,True,1,1,0,0,0,1,0,5,4,2,3,9,9,74.136,68.699,partial,
48,The North Face Nuptse,family,The North Face,Nuptse,False,PARTIAL,PARTIAL,False,False,0,0,0,0,0,0,0,23,44,14,8,50,34,69.516,37.842,partial,
49,Oral-B iO Series 10,model,Oral-B,iO Series 10,True,PASS,PASS,True,True,1,1,0,0,0,1,0,35,41,4,7,8,23,42.874,64.05,partial,
50,CeraVe Hydrating Facial Cleanser,family,CeraVe,Hydrating Facial Cleanser,True,PASS,PASS,True,True,1,1,0,0,0,1,0,3,0,3,3,6,10,26.76,27.804,success,
