index,input,url,final_url,fetch_status,attempt_status,http_status,duration_seconds,main_product_relation,main_product_evidence,observed_category,category_evidence,host_seed_operator,scoped_seed_first_party,js_shell
1,Bosch WAN28254GB,https://bosch-home.co.uk/en/product/laundry/washing-machines/front-load-washing-machine/WAN28254GB,https://www.bosch-home.co.uk/en/product/laundry/washing-machines/front-load-washing-machine/WAN28254GB,loaded,loaded,200,2.312,exact,Main product names the requested model,major appliances,Fetched primary product identifies major appliances,licensed_brand_operator,True,False
1,Bosch WAN28254GB,https://bosch-home.com/mt/en/mkt-product/washers-dryers/washing-machines/frontloader/WAN28254GB,,budget_exhausted,,,0.0,,,,,,,
1,Bosch WAN28254GB,https://bosch-home.ie/en/mkt-product/washers-and-dryers/washing-machines/front-loading-washing-machines/WAN28254GB,,budget_exhausted,,,0.0,,,,,,,
1,Bosch WAN28254GB,https://bosch-home.com/us/en/productservice/WAN28254GB-16,,budget_exhausted,,,0.0,,,,,,,
2,Siemens SN23EI03ME,https://siemens-home.bsh-group.com/uk/en/mkt-product/SN23EI03ME,https://www.siemens-home.bsh-group.com/uk/en/mkt-product/SN23EI03ME,loaded,loaded,200,2.605,exact,Main product names the requested model,major appliances,Fetched primary product identifies major appliances,licensed_brand_operator,True,False
3,Samsung RB38C7B6AS9,https://samsung.com/es/refrigerators/bottom-mount-freezer/bespoke-bmfreezer-with-smartthings-ai-energy-mode-387l-silver-rb38c7b6as9-ef,https://www.samsung.com/es/refrigerators/bottom-mount-freezer/bespoke-bmfreezer-with-smartthings-ai-energy-mode-387l-silver-rb38c7b6as9-ef/,loaded,loaded,200,2.826,unknown,Product SKU relation: regional_suffix,unknown,Primary product identity is not exact,brand_operator,False,False
3,Samsung RB38C7B6AS9,https://samsung.com/fr/refrigerators/bottom-mount-freezer/bespoke-bmfreezer-with-smartthings-ai-energy-mode-387l-silver-rb38c7b6as9-ef,https://www.samsung.com/fr/refrigerators/bottom-mount-freezer/bespoke-bmfreezer-with-smartthings-ai-energy-mode-387l-silver-rb38c7b6as9-ef/,loaded,loaded,200,2.438,unknown,Product SKU relation: absent,unknown,Primary product identity is not exact,brand_operator,False,False
3,Samsung RB38C7B6AS9,https://samsung.com/uk/support/model/RB38C7B6AS9/EF,,budget_exhausted,,,0.0,,,,,,,
4,Electrolux EOD6P77WX,https://electrolux.bg/kitchen/cooking/ovens/oven/eod6p77wx,,unavailable,timeout,,12.891,,,,,,,
4,Electrolux EOD6P77WX,https://electrolux.pl/kitchen/cooking/ovens/oven/eod6p77wx,,budget_exhausted,,,0.0,,,,,,,
4,Electrolux EOD6P77WX,https://shop.electrolux.co.uk/model/m/EOD6P77WX,,budget_exhausted,,,0.0,,,,,,,
5,AEG IKE64441FB,https://aeg.fr/kitchen/cooking/hobs/induction-hob/ike64441fb,,unavailable,timeout,,12.812,,,,,,,
6,Miele TWD260WP,https://miele.co.uk/product/11871790/t1-heat-pump-dryer-twd260wp-8kg-lotus-white,,unavailable,http_blocked,403,0.884,,,,,,,
6,Miele TWD260WP,https://miele.co.uk/product/11871790/t1-heat-pump-dryer-twd260wp-8kg-lotus-white,,unavailable,http_blocked,403,0.889,,,,,,,
6,Miele TWD260WP,https://miele.ae/product/12179550/t1-heat-pump-dryer-twd260wp-8kg,,budget_exhausted,,,0.0,,,,,,,
7,Haier HCR5919EHMB,https://haier-europe.com/en_GB/products/34005047-hcr5919ehmb-uk,https://www.haier-europe.com/en_GB/products/34005047-hcr5919ehmb-uk,loaded,loaded,200,3.293,exact,Main product names the requested model,major appliances,Fetched primary product identifies major appliances,brand_operator,True,False
7,Haier HCR5919EHMB,https://haier-europe.com/fr_FR/products/34005044-hcr5919ehmb,https://www.haier-europe.com/fr_FR/products/34005044-hcr5919ehmb,loaded,loaded,200,2.137,exact,Main product names the requested model,unknown,Primary product category is absent or ambiguous,brand_operator,False,False
8,DeLonghi Eletta Explore ECAM450.86.T,https://delonghi.com/cs-cz/p/eletta-explore-automaticky-kavovar-eletta-explore-ecam450.86.t-ex4/ECAM450.86.T+EX%3A4.html?pid=0132250153,,budget_exhausted,,,0.0,,,,,,,
8,DeLonghi Eletta Explore ECAM450.86.T,https://delonghi.com/en-hk/p/eletta-explore-eletta-explore-automatic-coffee-maker-ecam450.86.t/ECAM450.86.T.html?pid=0132217130,,budget_exhausted,,,0.0,,,,,,,
8,DeLonghi Eletta Explore ECAM450.86.T,https://delonghi.com/en/p/eletta-explore-eletta-explore-automatic-coffee-maker-ecam450.86.t/ECAM450.86.T.html?pid=0132217129,,budget_exhausted,,,0.0,,,,,,,
8,DeLonghi Eletta Explore ECAM450.86.T,https://delonghi.com/fr-fr/p/eletta-explore-expresso-broyeur-automatique-eletta-explore-ecam450.86.t-ex4/ECAM450.86.T+EX%3A4.html?pid=0132250116,,budget_exhausted,,,0.0,,,,,,,
9,Philips Airfryer Combi XXL HD9876/90,https://home-appliances.philips/de/de/p/HD9876_90,https://www.home-appliances.philips/de/de/p/HD9876_90,loaded,loaded,200,1.065,unknown,No primary product heading or unique Product object,unknown,Primary product identity is not exact,licensed_brand_operator,False,False
10,Dyson V15 Detect,https://dyson.co.uk/discover/archive/2021/behind-the-laser-v15-detect,,budget_exhausted,,,0.0,,,,,,,
10,Dyson V15 Detect,https://dyson.co.uk/discover/archive/2021/inside-the-tech-v15-detect,,budget_exhausted,,,0.0,,,,,,,
10,Dyson V15 Detect,https://dyson.com/vacuum-cleaners/cordless/v15/detect-yellow,,budget_exhausted,,,0.0,,,,,,,
10,Dyson V15 Detect,https://dyson.co.uk/vacuum-cleaners/cordless/v15/detect-yellow-nickel,,budget_exhausted,,,0.0,,,,,,,
12,Roborock S8 MaxV Ultra,https://us.roborock.com/products/roborock-s8-maxv-ultra?_pos=17%5Cu0026_sid%3Db242aa957%5Cu0026_ss%3Dr,https://us.roborock.com/products/roborock-s8-maxv-ultra?_pos=17%5Cu0026_sid%3Db242aa957%5Cu0026_ss%3Dr,loaded,loaded,200,0.37,exact,Main product names the requested model,unknown,Primary product category is absent or ambiguous,brand_operator,False,False
12,Roborock S8 MaxV Ultra,https://us.roborock.com/products/roborock-main-brush-pack-for-s8-maxv-ultra-s8-max-ultra?_pos=19%5Cu0026_sid%3Db242aa957%5Cu0026_ss%3Dr,https://us.roborock.com/products/roborock-main-brush-pack-for-s8-maxv-ultra-s8-max-ultra?_pos=19%5Cu0026_sid%3Db242aa957%5Cu0026_ss%3Dr,loaded,loaded,200,0.699,related_item,Main object is for/compatible with requested model,unknown,Primary product identity is not exact,brand_operator,False,False
12,Roborock S8 MaxV Ultra,https://us.roborock.com/pages/roborock-s8-maxv-ultra,,budget_exhausted,,,0.0,,,,,,,
12,Roborock S8 MaxV Ultra,https://us.roborock.com/products/roborock-cleaning-brush-2pcs-for-s8-pro-ultra-s7-maxv-ultra?_pos=21%5Cu0026_sid%3Db242aa957%5Cu0026_ss%3Dr,,budget_exhausted,,,0.0,,,,,,,
12,Roborock S8 MaxV Ultra,https://us.roborock.com/products/roborock-s8-maxv-ultra-with-refill-drainage-system?_pos=18%5Cu0026_sid%3Db242aa957%5Cu0026_ss%3Dr,,budget_exhausted,,,0.0,,,,,,,
13,Tefal Ultimate Pure FV9845,https://tefal.co.uk/Linen-Care/Steam-Irons/Professional-Results/Ultimate-Pure-FV9845-Steam-Iron-Black-&-Rose-Gold/p/1830007280,,budget_exhausted,,,0.0,,,,,,,
13,Tefal Ultimate Pure FV9845,https://tefal.com/Linen-Care/Steam-Irons/ULTIMATE-PURE-FV9845/p/1830006927,,budget_exhausted,,,0.0,,,,,,,
13,Tefal Ultimate Pure FV9845,https://tefal.co.uk/instructions-for-use/csp/1830007280,,budget_exhausted,,,0.0,,,,,,,
13,Tefal Ultimate Pure FV9845,https://tefal.com/instructions-for-use/csp/1830006927,,budget_exhausted,,,0.0,,,,,,,
15,Kenwood Titanium Chef Patissier XL KWL90,https://kenwoodworld.com/cs-cz/p/titanium-chef-patissier-xl-titanium-chef-patissier-xl-kwl90.004si/KWL90.004SI.html?pid=0W20011359,https://www.kenwoodworld.com/cs-cz/p/titanium-chef-patissier-xl-titanium-chef-patissier-xl-kwl90.004si/KWL90.004SI.html?pid=0W20011359,loaded,loaded,200,1.857,different_variant,Product SKU relation: different_variant,unknown,Primary product identity is not exact,brand_operator,False,False
15,Kenwood Titanium Chef Patissier XL KWL90,https://kenwoodworld.com/sk-sk/p/titanium-chef-patissier-xl-titanium-chef-patissier-xl-kwl90.124si/KWL90.124SI.html?pid=0W20011363,,budget_exhausted,,,0.0,,,,,,,
16,ASUS RT-BE88U,https://asus.com/cz/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u,https://www.asus.com/cz/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u/,loaded,loaded,200,2.208,exact,Main product names the requested model,unknown,Primary product category is absent or ambiguous,brand_operator,False,False
17,TP-Link Deco BE85,https://tp-link.com/en/home-networking/deco/deco-be85,https://www.tp-link.com/en/home-networking/deco/deco-be85/,loaded,loaded,200,1.046,unknown,Product SKU relation: absent,unknown,Primary product identity is not exact,brand_operator,False,False
17,TP-Link Deco BE85,https://tp-link.com/en/blog/1377,https://www.tp-link.com/en/blog/1377/,loaded,loaded,200,1.258,unknown,Product SKU relation: absent,unknown,Primary product identity is not exact,brand_operator,False,False
17,TP-Link Deco BE85,https://tp-link.com/cz/support/download/deco-be85,,budget_exhausted,,,0.0,,,,,,,
17,TP-Link Deco BE85,https://tp-link.com/en/support/download/deco-be85,,budget_exhausted,,,0.0,,,,,,,
17,TP-Link Deco BE85,https://tp-link.com/kr/support/download/deco-be85,,budget_exhausted,,,0.0,,,,,,,
17,TP-Link Deco BE85,https://tp-link.com/cz/home-networking/deco/deco-be85,,budget_exhausted,,,0.0,,,,,,,
19,NETGEAR GS308EP,https://netgear.com/business/wired/switches/easy-smart/gs308ep,https://www.netgear.com/business/wired/switches/easy-smart/gs308ep,loaded,loaded,200,1.238,unknown,Main product names an extra variant absent from the URL,unknown,Primary product identity is not exact,brand_operator,False,False
19,NETGEAR GS308EP,https://netgear.com/business/wired/switches/easy-smart/gs305ep,https://www.netgear.com/business/wired/switches/easy-smart/gs305ep,loaded,loaded,200,1.298,unknown,Product SKU relation: absent,unknown,Primary product identity is not exact,brand_operator,False,False
19,NETGEAR GS308EP,https://kb.netgear.com/000062841/GS308EP-Firmware-Version-1-0-0-6,https://kb.netgear.com/000062841/GS308EP-Firmware-Version-1-0-0-6,loaded,loaded,200,1.917,exact,Main product names the requested model,unknown,Primary product category is absent or ambiguous,unknown,False,False
19,NETGEAR GS308EP,https://kb.netgear.com/000062554/GS308EP-Firmware-Version-1-0-0-4,https://kb.netgear.com/000062554/GS308EP-Firmware-Version-1-0-0-4,loaded,loaded,200,1.848,exact,Main product names the requested model,unknown,Primary product category is absent or ambiguous,unknown,False,False
20,Synology DS923+,https://synology.co.ke/product/synology-diskstation-ds923,,budget_exhausted,,,0.0,,,,,,,
20,Synology DS923+,https://synology.co.ke/product/synology-diskstation-ds923-2,,budget_exhausted,,,0.0,,,,,,,
20,Synology DS923+,https://synology.co.ke/product/synology-diskstation-ds923-3,,budget_exhausted,,,0.0,,,,,,,
20,Synology DS923+,https://synology.com/de-de/support/download/DS923+,,budget_exhausted,,,0.0,,,,,,,
22,Logitech MX Keys S,https://logitech.com/en-us/shop/p/mx-keys-s,https://www.logitech.com/en-us/shop/p/mx-keys-s,loaded,loaded,200,1.012,exact,Main product names the requested model,computer/peripherals,Fetched primary product identifies computer/peripherals,brand_operator,True,False
22,Logitech MX Keys S,https://logitech.com/en-us/shop/p/mx-keys-s-combo,https://www.logitech.com/en-us/shop/p/mx-keys-s-combo,loaded,loaded,200,1.054,different_variant,Main object names a different package or refill,unknown,Primary product identity is not exact,brand_operator,False,False
22,Logitech MX Keys S,https://logitech.com/en-us/shop/p/mx-keys-s-combo-for-mac,https://www.logitech.com/en-us/shop/p/mx-keys-s-combo-for-mac,loaded,loaded,200,1.244,different_variant,Main object names a different package or refill,unknown,Primary product identity is not exact,brand_operator,False,False
