index,input,identity_level,status,parsed_brand,parsed_model,queries,provider_attempts,provider_outcomes,service_seconds,harness_seconds,over_75_seconds,search_status,candidate_counts,accepted_official_pages,exact_main_product_pages,content_verified_exact_pages,support_pages,documents,exact_support_pages,exact_documents,fetch_statuses,fetch_http_403,fetch_timeout,js_shells,loaded_source_identity_or_scope_unproved,no_accepted_candidate,no_first_party_candidate,no_page_candidate_checked,load_limited,error
1,Bosch WAN28254GB,sku,PASS,Bosch,WAN28254GB,3,11,"{""timeout"": 2, ""blocked"": 1, ""success"": 3, ""circuit_open"": 5}",69.552,69.557,False,partial,"{""provider_raw"": 181, ""collected"": 181, ""normalized"": 181, ""unique"": 46, ""duplicates"": 135, ""accepted"": 10, ""rejected"": 36, ""official"": 1, ""dealer"": 0, ""secondary"": 9, ""documents"": 0}",1,1,1,0,0,0,0,"{""loaded"": 1, ""budget_exhausted"": 3}",0,0,0,0,False,False,False,True,
2,Siemens SN23EI03ME,sku,PASS,Siemens,SN23EI03ME,3,10,"{""timeout"": 2, ""empty"": 1, ""success"": 2, ""blocked"": 2, ""low_value"": 3}",63.133,63.135,False,partial,"{""provider_raw"": 10, ""collected"": 10, ""normalized"": 10, ""unique"": 10, ""duplicates"": 0, ""accepted"": 7, ""rejected"": 3, ""official"": 1, ""dealer"": 0, ""secondary"": 6, ""documents"": 0}",1,1,1,0,0,0,0,"{""loaded"": 1}",0,0,0,0,False,False,False,False,
3,Samsung RB38C7B6AS9,sku,PARTIAL,Samsung,RB38C7B6AS9,4,13,"{""timeout"": 2, ""empty"": 2, ""success"": 3, ""circuit_open"": 5, ""blocked"": 1}",85.617,85.623,True,partial,"{""provider_raw"": 28, ""collected"": 28, ""normalized"": 28, ""unique"": 14, ""duplicates"": 14, ""accepted"": 11, ""rejected"": 3, ""official"": 0, ""dealer"": 0, ""secondary"": 11, ""documents"": 0}",0,0,0,0,0,0,0,"{""loaded"": 2, ""budget_exhausted"": 1}",0,0,0,2,False,True,False,True,
4,Electrolux EOD6P77WX,sku,PARTIAL,Electrolux,EOD6P77WX,11,61,"{""empty"": 7, ""success"": 8, ""circuit_open"": 21, ""blocked"": 11, ""low_value"": 7, ""timeout"": 1, ""capped"": 6}",71.106,71.122,False,partial,"{""provider_raw"": 184, ""collected"": 116, ""normalized"": 116, ""unique"": 51, ""duplicates"": 65, ""accepted"": 18, ""rejected"": 33, ""official"": 0, ""dealer"": 0, ""secondary"": 18, ""documents"": 0}",0,0,0,0,0,0,0,"{""unavailable"": 1, ""budget_exhausted"": 2}",0,1,0,0,False,True,False,True,
5,AEG IKE64441FB,sku,PARTIAL,AEG,IKE64441FB,7,35,"{""empty"": 7, ""success"": 6, ""circuit_open"": 7, ""blocked"": 8, ""low_value"": 3, ""timeout"": 2, ""capped"": 2}",75.481,75.486,True,partial,"{""provider_raw"": 126, ""collected"": 82, ""normalized"": 82, ""unique"": 49, ""duplicates"": 33, ""accepted"": 28, ""rejected"": 21, ""official"": 0, ""dealer"": 0, ""secondary"": 28, ""documents"": 0}",0,0,0,0,0,0,0,"{""unavailable"": 1}",0,1,0,0,False,True,False,True,
6,Miele TWD260WP,sku,PARTIAL,Miele,TWD260WP,10,44,"{""empty"": 3, ""success"": 10, ""capped"": 9, ""circuit_open"": 12, ""blocked"": 5, ""low_value"": 4, ""timeout"": 1}",76.772,76.81,True,partial,"{""provider_raw"": 247, ""collected"": 200, ""normalized"": 200, ""unique"": 119, ""duplicates"": 81, ""accepted"": 26, ""rejected"": 93, ""official"": 0, ""dealer"": 0, ""secondary"": 26, ""documents"": 0}",0,0,0,0,0,0,0,"{""unavailable"": 1, ""budget_exhausted"": 1}",2,0,0,0,False,True,False,True,
7,Haier HCR5919EHMB,sku,PASS,Haier,HCR5919EHMB,3,5,"{""empty"": 2, ""success"": 3}",64.515,64.516,False,partial,"{""provider_raw"": 10, ""collected"": 10, ""normalized"": 10, ""unique"": 10, ""duplicates"": 0, ""accepted"": 9, ""rejected"": 1, ""official"": 1, ""dealer"": 0, ""secondary"": 8, ""documents"": 0}",1,1,1,0,0,0,0,"{""loaded"": 2}",0,0,0,1,False,False,False,False,
8,DeLonghi Eletta Explore ECAM450.86.T,sku,PARTIAL,DeLonghi,Eletta Explore ECAM450.86.T,9,42,"{""success"": 12, ""capped"": 8, ""empty"": 2, ""circuit_open"": 9, ""blocked"": 7, ""low_value"": 3, ""timeout"": 1}",79.626,79.645,True,partial,"{""provider_raw"": 345, ""collected"": 282, ""normalized"": 282, ""unique"": 117, ""duplicates"": 154, ""accepted"": 24, ""rejected"": 104, ""official"": 0, ""dealer"": 0, ""secondary"": 24, ""documents"": 0}",0,0,0,0,0,0,0,"{""budget_exhausted"": 4}",0,0,0,0,False,True,False,True,
9,Philips Airfryer Combi XXL HD9876/90,sku,PARTIAL,Philips,Airfryer Combi XXL HD9876/90,7,47,"{""success"": 6, ""capped"": 6, ""empty"": 2, ""blocked"": 9, ""low_value"": 8, ""timeout"": 3, ""circuit_open"": 13}",78.809,78.829,True,partial,"{""provider_raw"": 272, ""collected"": 222, ""normalized"": 222, ""unique"": 39, ""duplicates"": 183, ""accepted"": 5, ""rejected"": 34, ""official"": 0, ""dealer"": 0, ""secondary"": 5, ""documents"": 0}",0,0,0,0,0,0,0,"{""loaded"": 1}",0,0,0,1,False,True,False,False,
10,Dyson V15 Detect,model,PARTIAL,Dyson,V15 Detect,10,63,"{""success"": 10, ""empty"": 2, ""blocked"": 10, ""low_value"": 5, ""timeout"": 3, ""capped"": 9, ""circuit_open"": 24}",76.813,76.84,True,partial,"{""provider_raw"": 469, ""collected"": 199, ""normalized"": 199, ""unique"": 82, ""duplicates"": 117, ""accepted"": 23, ""rejected"": 59, ""official"": 0, ""dealer"": 0, ""secondary"": 23, ""documents"": 0}",0,0,0,0,0,0,0,"{""budget_exhausted"": 4}",0,0,0,0,False,True,False,True,
11,Kärcher K5 Power Control,model,PARTIAL,Kärcher,K5 Power Control,8,60,"{""empty"": 10, ""blocked"": 11, ""success"": 6, ""circuit_open"": 22, ""low_value"": 10, ""timeout"": 1}",105.53,105.549,True,partial,"{""provider_raw"": 328, ""collected"": 93, ""normalized"": 93, ""unique"": 50, ""duplicates"": 43, ""accepted"": 3, ""rejected"": 47, ""official"": 0, ""dealer"": 0, ""secondary"": 3, ""documents"": 0}",0,0,0,0,0,0,0,{},0,0,0,0,False,True,True,False,
12,Roborock S8 MaxV Ultra,model,PARTIAL,Roborock,S8 MaxV Ultra,10,32,"{""success"": 10, ""capped"": 5, ""empty"": 2, ""blocked"": 6, ""circuit_open"": 6, ""low_value"": 2, ""timeout"": 1}",86.899,86.914,True,partial,"{""provider_raw"": 207, ""collected"": 164, ""normalized"": 164, ""unique"": 73, ""duplicates"": 91, ""accepted"": 21, ""rejected"": 52, ""official"": 0, ""dealer"": 0, ""secondary"": 21, ""documents"": 0}",0,0,0,0,0,0,0,"{""loaded"": 2, ""budget_exhausted"": 3}",0,0,0,2,False,True,False,True,
13,Tefal Ultimate Pure FV9845,sku,PARTIAL,Tefal,Ultimate Pure FV9845,9,65,"{""success"": 6, ""capped"": 8, ""empty"": 2, ""blocked"": 12, ""low_value"": 10, ""timeout"": 3, ""circuit_open"": 24}",77.252,77.262,True,partial,"{""provider_raw"": 242, ""collected"": 84, ""normalized"": 84, ""unique"": 48, ""duplicates"": 36, ""accepted"": 7, ""rejected"": 41, ""official"": 0, ""dealer"": 0, ""secondary"": 7, ""documents"": 0}",0,0,0,0,0,0,0,"{""budget_exhausted"": 4}",0,0,0,0,False,True,False,True,
