index,input,identity_level,before_name_only_status,after_name_only_status,guided_status,before_name_only_queries,after_name_only_queries,guided_queries,before_name_only_seconds,after_name_only_seconds,guided_seconds,after_verified_exact_urls,after_page_fetch_outcomes
1,Bosch WAN28254GB,sku,PARTIAL,PASS,PASS,6,3,3,75.474,65.155,70.818,https://www.bosch-home.co.uk/en/product/laundry/washing-machines/front-load-washing-machine/WAN28254GB,"{""loaded"": 4}"
5,AEG IKE64441FB,sku,PARTIAL,PARTIAL,PARTIAL,9,9,3,84.588,75.455,54.547,,"{""unavailable"": 1}"
12,Roborock S8 MaxV Ultra,model,PARTIAL,PARTIAL,PASS,10,10,3,39.143,37.148,22.385,,"{""loaded"": 4}"
16,ASUS RT-BE88U,sku,PARTIAL,PASS,PASS,10,3,3,77.21,50.234,61.617,https://www.asus.com/us/networking-iot-servers/wifi-routers/asus-gaming-routers/rt-be88u/,"{""loaded"": 3, ""unavailable"": 1}"
17,TP-Link Deco BE85,model,PARTIAL,PARTIAL,PARTIAL,12,12,7,53.712,56.901,34.007,,"{""loaded"": 5}"
19,NETGEAR GS308EP,sku,PARTIAL,PARTIAL,PARTIAL,10,10,3,23.891,25.083,15.598,,"{""loaded"": 4}"
22,Logitech MX Keys S,model,PARTIAL,PASS,PASS,8,3,3,22.967,15.424,11.639,https://www.logitech.com/en-us/shop/p/mx-keys-s,"{""loaded"": 3}"
23,Razer DeathAdder V3,model,PARTIAL,PASS,PASS,9,3,3,33.194,14.878,11.006,https://www.razer.com/gaming-mice/razer-deathadder-v3,"{""loaded"": 2}"
30,Canon CanoScan LiDE 400,model,PARTIAL,PARTIAL,PARTIAL,12,11,3,70.843,76.04,24.13,,"{""budget_exhausted"": 3, ""unavailable"": 1}"
33,Corsair RM850x,family,PARTIAL,PASS,PASS,9,3,3,36.432,16.575,20.045,https://www.corsair.com/ww/en/p/psu/cp-9020270-na/rmx-series-rm850x-fully-modular-power-supply-cp-9020270-na,"{""loaded"": 2}"
37,Makita GA023GZ,sku,PARTIAL,PASS,PASS,10,3,3,75.476,50.224,38.294,https://www.makita.co.nz/products/model/GA023GZ,"{""loaded"": 1}"
46,adidas Ultraboost 5 JH9073,sku,PARTIAL,PARTIAL,PARTIAL,10,9,3,59.217,60.026,37.796,,"{""unavailable"": 4}"
47,Nike AeroSwift FN4231-010,sku,PARTIAL,PASS,PASS,6,3,2,75.764,71.559,76.829,https://www.nike.com/gb/t/aeroswift-mens-dri-fit-adv-running-vest-vSX0Gdly/FN4231-010,"{""loaded"": 1}"
49,Oral-B iO Series 10,model,PARTIAL,PASS,PARTIAL,10,8,3,70.024,50.08,31.012,https://oralb.com/en-us/products/io-series-10-rechargeable-electric-toothbrush-stardust-white-dd/,"{""loaded"": 4}"
50,CeraVe Hydrating Facial Cleanser,family,PARTIAL,PASS,PASS,9,3,3,36.058,14.691,14.172,https://www.cerave.com/skincare/cleansers/hydrating-facial-cleanser,"{""loaded"": 4}"
