index,input,runtime_seconds,over_budget,over_budget_seconds,search_status,unique_candidates,search_providers_seconds,direct_probes_seconds,browser_seconds,document_queries_seconds,other_providers_seconds,page_load_seconds_sum,page_load_count,unattributed_seconds,crossing_provider,crossing_status,crossing_query,crossing_start_seconds,crossing_duration_seconds,crossing_configured_timeout,crossing_overshoot_of_own_timeout,crossing_failure_reason,tail_after_crossing_call_seconds,slowest_provider,slowest_status,slowest_seconds,slowest_timeout,slowest_page_seconds,slowest_page_status
1,Bosch WAN28254GB,77.564,True,2.564,partial,10,2.856,34.903,18.321,12.749,0.0,5.125,4,3.609,google,timeout,"Bosch ""WAN28254GB"" declaration of conformity",68.301,6.737423,6.699011943710502,0.038,,2.526,direct_domain_probe,empty,34.902925,36.0,1.758,loaded
2,Siemens SN23EI03ME,51.177,False,0.0,partial,10,1.835,35.35,5.977,2.409,0.0,1.897,1,3.709,,,,,,,,,,direct_domain_probe,empty,35.349856,36.0,1.897,loaded
3,Samsung RB38C7B6AS9,81.108,True,6.108,timeout,47,0.0,0.0,0.0,0.0,0.0,0,0,81.108,no_recorded_provider_call,,,,,,,,,,,,,,
4,Electrolux EOD6P77WX,69.73,False,0.0,partial,66,31.216,20.828,3.025,0.0,0.0,12.742,3,1.92,,,,,,,,,,direct_domain_probe,empty,10.530164,36.0,12.742,unavailable
5,AEG IKE64441FB,69.341,False,0.0,partial,59,25.093,19.905,10.061,0.0,0.0,12.759,1,1.523,,,,,,,,,,direct_domain_probe,empty,14.666774,36.0,12.759,unavailable
6,Miele TWD260WP,61.682,False,0.0,partial,110,30.34,19.412,6.915,0.0,0.0,3.449,3,1.566,,,,,,,,,,direct_domain_probe,empty,19.412308,36.0,1.539,unavailable
7,Haier HCR5919EHMB,60.47,False,0.0,partial,11,1.772,23.942,11.008,13.262,0.0,6.946,3,3.54,,,,,,,,,,direct_domain_probe,success,17.678602,36.0,2.554,loaded
8,DeLonghi Eletta Explore ECAM450.86.T,36.322,False,0.0,partial,74,13.089,15.759,4.338,0.0,0.0,2.037,2,1.099,,,,,,,,,,direct_domain_probe,success,8.217407,36.0,1.155,loaded
9,Philips Airfryer Combi XXL HD9876/90,33.915,False,0.0,success,1,11.978,12.439,0.0,4.109,0.0,4.155,1,1.235,,,,,,,,,,direct_domain_probe,success,12.438556,36.0,4.155,loaded
10,Dyson V15 Detect,66.332,False,0.0,partial,212,32.942,19.208,3.286,0.0,0.0,4.172,4,6.725,,,,,,,,,,direct_domain_probe,success,9.277592,36.0,1.417,loaded
11,Kärcher K5 Power Control,44.01,False,0.0,partial,145,31.58,7.174,2.683,0.0,0.0,0,0,2.573,,,,,,,,,,google,timeout,8.009899,8.0,,
12,Roborock S8 MaxV Ultra,41.616,False,0.0,partial,112,13.297,12.217,10.123,0.0,0.0,4.191,5,1.788,,,,,,,,,,browser_official_discovery,empty,10.122818,20.0,1.203,loaded
13,Tefal Ultimate Pure FV9845,46.979,False,0.0,partial,108,22.284,16.184,4.71,0.0,0.0,4.565,4,0.0,,,,,,,,,,direct_domain_probe,success,9.609273,36.0,1.319,loaded
14,Braun MultiQuick 9 MQ9187XLI,49.379,False,0.0,partial,10,1.664,34.75,7.918,2.303,0.0,1.252,1,1.493,,,,,,,,,,direct_domain_probe,success,34.749732,36.0,1.252,loaded
15,Kenwood Titanium Chef Patissier XL KWL90,71.762,False,0.0,partial,152,29.856,14.244,20.01,0.0,0.0,4.721,4,2.931,,,,,,,,,,browser_official_discovery,timeout,20.010127,20.0,2.885,loaded
16,ASUS RT-BE88U,67.82,False,0.0,partial,10,0.896,38.068,12.314,0.0,0.0,16.903,4,0.0,,,,,,,,,,direct_domain_probe,timeout,38.068317,36.0,10.96,loaded
17,TP-Link Deco BE85,48.134,False,0.0,partial,95,14.954,16.463,11.655,0.0,0.0,4.915,5,0.147,,,,,,,,,,browser_official_discovery,empty,11.654644,20.0,1.125,loaded
18,Ubiquiti UniFi U7 Pro,71.088,False,0.0,partial,168,35.878,19.25,14.383,0.0,0.0,0.0,4,1.577,,,,,,,,,,browser_official_discovery,empty,14.383312,20.0,0.0,budget_exhausted
19,NETGEAR GS308EP,29.613,False,0.0,success,44,0.0,11.442,11.343,0.0,0.0,6.38,4,0.448,,,,,,,,,,browser_official_discovery,success,11.343251,20.0,1.973,loaded
20,Synology DS923+,77.721,True,2.721,partial,182,35.648,30.032,10.561,0.0,0.0,0.0,4,1.48,naver,timeout,"""DS923+"" site:synology.com -site:blog.synology.com -site:c2.synology.com -site:community.synology.com -site:finds.synology.com",74.443,2.712102,0.556811147427652,2.155,,0.566,direct_domain_probe,empty,30.031543,36.0,0.0,budget_exhausted
21,APC Back-UPS BX1600MI,76.14,True,1.14,partial,132,37.238,22.549,13.475,0.0,0.0,0,0,2.878,seznam,timeout,"""Back-UPS BX1600MI"" site:apc.com.ng",74.743,0.590188,0.2568678316893056,0.333,,0.807,direct_domain_probe,empty,22.549369,36.0,,
22,Logitech MX Keys S,17.405,False,0.0,success,3,3.583,7.41,0.0,2.764,0.0,2.958,3,0.691,,,,,,,,,,direct_domain_probe,success,7.409727,36.0,1.058,loaded
23,Razer DeathAdder V3,15.99,False,0.0,success,2,3.858,5.487,0.0,2.601,0.0,2.179,2,1.865,,,,,,,,,,direct_domain_probe,success,5.487063,36.0,1.09,loaded
24,SteelSeries Arctis Nova Pro Wireless,73.207,False,0.0,partial,156,37.216,16.364,14.471,0.0,0.0,0.0,4,5.156,,,,,,,,,,direct_domain_probe,empty,15.968806,36.0,0.0,budget_exhausted
25,Samsung Odyssey OLED G8 G80SD,78.519,True,3.519,partial,26,16.903,35.243,10.377,0.0,0.0,5.057,4,10.939,naver,timeout,"""Odyssey OLED G8 G80SD"" site:samsung.com",72.24,2.952355,2.7600648357183672,0.192,,3.327,direct_domain_probe,empty,35.243304,36.0,2.621,loaded
26,LG OLED evo C4,70.33,False,0.0,partial,159,47.424,8.651,0.0,0.0,0.0,18.195,4,0.0,,,,,,,,,,direct_domain_probe,success,8.649306,25.202746766677592,7.593,loaded
