index,input,old_status,old_runtime_seconds,old_over_75,old_candidates_unique,old_queries_attempted,old_provider_calls_executed,old_page_fetches,old_pages_loaded,old_official_pages,old_exact_official_pages,old_accepted_urls,old_support_pages,old_documents,old_net_provider_blocks,old_net_http_403,old_net_http_429,old_net_provider_timeouts,old_provider_other_errors,old_program_faults,old_hard_stop,old_stop_reason,old_stopped_in,old_post_result_cleanup_seconds,new_status,new_runtime_seconds,new_over_75,new_candidates_unique,new_queries_attempted,new_provider_calls_executed,new_page_fetches,new_pages_loaded,new_official_pages,new_exact_official_pages,new_accepted_urls,new_support_pages,new_documents,new_net_provider_blocks,new_net_http_403,new_net_http_429,new_net_provider_timeouts,new_provider_other_errors,new_program_faults,new_hard_stop,new_stop_reason,new_stopped_in,new_post_result_cleanup_seconds,new_accepted_not_in_old,old_accepted_not_in_new
2,Siemens SN23EI03ME,PASS,63.133,False,10,3,10,1,1,1,1,['siemens-home.bsh-group.com/uk/en/mkt-product/sn23ei03me'],0,0,2,0,0,2,0,,False,,{},,PASS,71.95,False,10,3,10,1,1,1,1,['siemens-home.bsh-group.com/uk/en/mkt-product/sn23ei03me'],0,0,2,0,0,2,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",1.64,,
11,Kärcher K5 Power Control,PARTIAL,105.53,True,50,8,38,0,0,0,0,[],0,0,11,0,0,1,0,,False,,{},,PARTIAL,41.411,False,130,8,27,0,0,0,0,[],0,0,5,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.403,,
14,Braun MultiQuick 9 MQ9187XLI,FAIL,86.578,True,20,2,11,0,0,0,0,[],0,0,4,0,0,2,0,,False,,{},,PASS,74.335,False,10,3,10,1,1,1,1,['braunhousehold.com/en/p/multiquick-9-multiquick-9-hand-blender-mq-9187xli/hb901-mq9187xli.html?pid=0x22111376'],0,0,3,0,0,2,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.744,braunhousehold.com/en/p/multiquick-9-multiquick-9-hand-blender-mq-9187xli/hb901-mq9187xli.html?pid=0x22111376,
23,Razer DeathAdder V3,PASS,28.265,False,2,3,4,2,2,1,1,['razer.com/gaming-mice/razer-deathadder-v3'],0,0,1,0,0,0,0,,False,,{},,PASS,25.988,False,2,3,4,2,2,1,1,['razer.com/gaming-mice/razer-deathadder-v3'],0,0,1,0,0,0,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.052,,
26,LG OLED evo C4,PARTIAL,108.272,True,151,8,28,4,4,0,0,[],0,0,5,0,0,1,0,,False,,{},,PARTIAL,57.861,False,154,8,27,4,4,0,0,[],0,0,4,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.419,,
28,Lenovo ThinkPad X1 Carbon Gen 13 Aura Edition,PARTIAL,163.389,True,117,8,17,4,0,0,0,[],0,0,4,0,0,1,0,,False,,{},,PARTIAL,49.595,False,113,10,23,4,2,0,0,[],0,0,1,4,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.568,,
29,Epson EcoTank L6270,PARTIAL,104.455,True,55,6,16,3,0,0,0,[],0,0,5,0,0,2,0,,False,,{},,PASS,22.942,False,2,3,3,2,1,1,1,['epson.eu/en_eu/products/printers/inkjet/consumer/ecotank-l6270-multifunction-wi-fi-ink-tank-a4-printer%2c-with-up-to-3-years-of-ink-included/p/30259'],0,0,0,0,0,0,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.105,epson.eu/en_eu/products/printers/inkjet/consumer/ecotank-l6270-multifunction-wi-fi-ink-tank-a4-printer%2c-with-up-to-3-years-of-ink-included/p/30259,
31,WD My Passport 5TB,PARTIAL,137.576,True,110,8,28,0,0,0,0,[],0,0,6,0,0,1,0,,False,,{},,PARTIAL,47.013,False,159,8,33,0,0,0,0,[],0,0,8,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.583,,
32,Crucial T705,PARTIAL,110.443,True,90,11,24,4,0,0,0,[],0,0,6,0,0,2,0,,False,,{},,PARTIAL,31.085,False,87,10,17,3,3,0,0,[],0,0,2,0,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.302,,
33,Corsair RM850x,PASS,53.757,False,2,3,4,2,2,1,1,['corsair.com/ww/en/p/psu/cp-9020270-na/rmx-series-rm850x-fully-modular-power-supply-cp-9020270-na'],0,0,1,0,0,0,0,,False,,{},,PASS,18.135,False,2,3,4,2,2,1,1,['corsair.com/ww/en/p/psu/cp-9020270-na/rmx-series-rm850x-fully-modular-power-supply-cp-9020270-na'],0,0,1,0,0,0,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.0,,
35,MSI MAG X870 TOMAHAWK WIFI,PARTIAL,146.763,True,96,8,19,4,0,0,0,[],0,0,5,0,0,1,0,,False,,{},,PARTIAL,44.47,False,104,9,26,4,0,0,0,[],0,0,3,8,0,1,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.202,,
38,Milwaukee M18 FHX-502X,FAIL,214.61,True,0,1,2,0,0,0,0,[],0,0,0,0,0,1,0,,False,,{},,PARTIAL,80.251,True,170,8,24,0,0,0,0,[],0,0,5,0,0,2,0,,False,hard_deadline,"{""kind"": ""post_result_cleanup"", ""target"": """", ""stalled_seconds"": null}",0.473,,
39,Bosch Professional GCM 8 SJL,FAIL,115.442,True,0,1,3,0,0,0,0,[],0,0,0,0,0,2,0,,False,,{},,PARTIAL,78.798,True,43,6,15,2,2,0,0,[],0,0,4,0,0,1,0,,False,cleanup_exceeded_grace,"{""kind"": ""post_result_cleanup"", ""target"": """", ""stalled_seconds"": null}",2.031,,
40,Einhell TC-PL 750,FAIL,82.347,True,0,1,2,0,0,0,0,[],0,0,0,0,0,1,0,,False,,{},,PARTIAL,79.906,True,149,9,23,4,0,0,0,[],0,0,6,0,0,1,0,,False,cleanup_exceeded_grace,"{""kind"": ""post_result_cleanup"", ""target"": """", ""stalled_seconds"": null}",2.009,,
41,STIHL MS 182,FAIL,314.594,True,21,2,9,0,0,0,0,[],0,0,2,0,0,1,2,,False,,{},,PASS,31.886,False,3,7,7,1,1,1,1,['stihl.co.uk/en/p/chainsaws-ms-182-petrol-chainsaw-145794'],0,0,0,0,0,0,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.05,stihl.co.uk/en/p/chainsaws-ms-182-petrol-chainsaw-145794,
50,CeraVe Hydrating Facial Cleanser,PASS,27.804,False,4,3,12,4,4,1,1,['cerave.com/skincare/cleansers/hydrating-facial-cleanser'],0,0,6,0,0,1,0,,False,,{},,PASS,14.538,False,4,3,3,4,4,1,1,['cerave.com/skincare/cleansers/hydrating-facial-cleanser'],0,0,0,0,0,0,0,,False,,"{""kind"": ""none"", ""target"": """", ""stalled_seconds"": null}",0.051,,
