index,input,runtime_seconds,over_budget,over_budget_seconds,search_status,unique_candidates,search_providers_seconds,direct_probes_seconds,browser_seconds,document_queries_seconds,other_providers_seconds,page_load_seconds_sum,page_load_count,unattributed_seconds,slowest_provider,slowest_status,slowest_seconds,slowest_timeout,slowest_page_seconds,slowest_page_status,crossing_provider,crossing_status,crossing_query,crossing_start_seconds,crossing_duration_seconds,crossing_configured_timeout,crossing_overshoot_of_own_timeout,crossing_failure_reason,tail_after_crossing_call_seconds
1,Bosch WAN28254GB,69.552,False,0.0,partial,46,7.525,36.623,20.055,0.0,0.0,2.336,4,3.013,direct_domain_probe,timeout,36.623357,36.0,2.336,loaded,,,,,,,,,
2,Siemens SN23EI03ME,63.133,False,0.0,partial,10,1.818,36.672,5.413,14.287,0.0,2.619,1,2.325,direct_domain_probe,timeout,36.671623,36.0,2.619,loaded,,,,,,,,,
3,Samsung RB38C7B6AS9,85.617,True,10.617,partial,14,5.455,37.928,7.31,0.0,0.0,5.29,3,29.634,direct_domain_probe,timeout,37.92754,36.0,2.844,loaded,duckduckgo_html,blocked,"""RB38C7B6AS9"" Samsung specs",74.628,0.469996,0.37194599997019395,0.098,,10.519
4,Electrolux EOD6P77WX,71.106,False,0.0,partial,51,34.882,19.844,1.128,0.0,0.0,12.891,3,2.361,direct_domain_probe,empty,14.184339,36.0,12.891,unavailable,,,,,,,,,
5,AEG IKE64441FB,75.481,True,0.481,partial,49,28.533,21.691,11.784,0.0,0.0,12.812,1,0.66,direct_domain_probe,empty,16.13323,36.0,12.812,unavailable,no_recorded_provider_call,,,,,,,,
6,Miele TWD260WP,76.772,True,1.772,partial,119,33.448,27.153,7.699,0.0,0.0,1.859,2,6.613,direct_domain_probe,empty,27.152729,36.0,1.859,unavailable,no_recorded_provider_call,,,,,,,,
7,Haier HCR5919EHMB,64.515,False,0.0,partial,10,2.368,34.978,9.23,1.968,0.0,5.479,2,10.492,direct_domain_probe,empty,34.978166,36.0,3.309,loaded,,,,,,,,,
8,DeLonghi Eletta Explore ECAM450.86.T,79.626,True,4.626,partial,117,39.796,24.144,6.214,0.0,0.0,0.0,4,9.473,direct_domain_probe,success,24.1436,36.0,0.0,budget_exhausted,no_recorded_provider_call,,,,,,,,
9,Philips Airfryer Combi XXL HD9876/90,78.809,True,3.809,partial,39,35.747,26.43,10.28,0.0,0.0,1.076,1,5.277,direct_domain_probe,success,26.42968,36.0,1.076,loaded,seznam,timeout,Philips official website,74.618,0.864716,0.3816442000097595,0.483,,3.326
10,Dyson V15 Detect,76.813,True,1.813,partial,82,37.739,33.86,2.668,0.0,0.0,0.0,4,2.546,direct_domain_probe,success,33.860307,36.0,0.0,budget_exhausted,naver,timeout,"""V15 Detect"" site:dyson.com -site:lb.dyson.com",74.047,1.084199,0.9530279000173323,0.131,,1.682
11,Kärcher K5 Power Control,105.53,True,30.53,partial,50,36.386,7.367,1.171,0.0,0.0,0,0,60.606,google,timeout,8.147852,8.0,,,no_recorded_provider_call,,,,,,,,
12,Roborock S8 MaxV Ultra,86.899,True,11.899,partial,73,25.895,22.279,14.291,0.0,0.0,1.087,5,23.347,direct_domain_probe,success,15.132784,36.0,0.713,loaded,no_recorded_provider_call,,,,,,,,
